Name,X,Y,Z,X,Y,Z
c_pelvis01_jj_01,-0.193,-1.622,-0.747,-2.527,-0.144,2.084
c_tail03_jj_03,0,0,0,-0.059,0.202,0.053
c_tail04_jj_04,0,0,0,-0.045,0.206,0.137
c_tail05_jj_05,0,0,0,-0.056,0.207,0.038
c_tail06_jj_06,0,0,0,-0.07,0.202,0.075
c_tail07_jj_07,0,0,0,-0.062,0.205,0.064
c_tail08_jj_08,0,0,0,-0.008,0.209,0.001
c_tail09_jj_09,0,0,0,-0.002,0.192,0
c_tail10_jj_010,0,0,0,-0.002,0.175,0
c_tail11_jj_011,0,0,0,0.005,0.157,0
c_tail12_jj_012,0,0,0,0,0.148,0
c_tail13_jj_013,0,0,0,0.001,0.14,0
c_tail14_jj_014,0,0,0,-0.001,0.131,0
c_tail15_jj_015,0,0,0,-0.001,0.131,0
c_tail16_jj_016,0,0,0,0,0.131,0
c_tail17_jj_017,0,0,0,0.003,0.131,0
c_tail18_jj_018,0,0,0,-0.001,0.131,0
c_tail19_jj_019,0,0,0,0,0.131,0
c_tail20_jj_020,0,0,0,0,0.131,0
c_tail21_jj_021,0,0,0,-0.001,0.131,0
c_tail22_jj_022,0,0,0,-0.002,0.131,0
c_tail23_jj_023,0,0,0,0,0,0
c_spine01_jj_024,0,0,0,-6.226,-0.096,-0.128
c_spine02_jj_025,0.425,0,0,-0.033,-0.054,-0.041
c_spine03_jj_026,0,0,0,-0.111,-0.244,-0.047
c_spine04_jj_027,0,0,0,-0.082,-0.316,-0.108
c_spine05_jj_028,0,0,0,0.241,-0.291,-0.012
c_neck01_jj_029,0.713,2.159,0.185,0.259,0.019,0.677
c_head01_jj_030,-0.352,-0.123,-0.009,0.223,0.146,0.671
l_ear01_jj_033,0.125,-0.23,-0.755,-0.209,-0.005,0.212
r_ear01_jj_036,0.11,0.598,-0.749,0.177,-0.038,0.259
l_eye01_jj_039,0,0,0,0,0,0
r_eye01_jj_040,0,0,0,0,0,0
organ_protect_1_L_041,0,0,0,0,0,0
organ_protect_1_R_042,-0.875,-0.425,0.605,0,0.144,0
l_scapula01_jj_043,0,0,0,0,0,0
l_humerus01_jj_044,-0.071,0.453,-0.099,0.021,-0.48,0.351
l_ulna01_jj_045,0.07,-0.018,0,0,0,0.074
l_metacarpus01_jj_046,0,0,0,0.055,0.449,-0.759
r_scapula01_jj_066,0,0,0,-0.078,-0.042,0.065
r_humerus01_jj_067,-0.313,-0.579,0.284,0.232,0.09,-0.207
r_ulna01_jj_068,-0.324,0.035,0,0,0,0.325
r_metacarpus01_jj_069,0,0,0,0.184,0.056,0.121
organ_protect_B_L_089,0,0,0,0.558,-0.185,-0.426
organ_protect_B_R_091,0,0,0,0.945,-0.194,-0.744
organ_protect_2_094,0.168,-0.517,-0.731,-0.002,0.255,0.046
organ_protect_L_096,0.372,-0.016,-0.024,0,0,0
organ_protect_S_097,-0.05,0.023,0.723,0,0,0
organ_protect_L_2_099,0.068,0.069,-0.105,0,0,0
l_femur01_jj_0100,0,0,0,0.133,-0.144,-0.115
l_tibia01_jj_00,0,0,0,0,0,0.162
l_metatarsus01_jj_0101,0,0,0,-0.428,0.073,0.425
r_femur01_jj_0123,0,0,0,0.361,0.029,0.023
r_tibia01_jj_0124,0,0,0,0,0,0.156
r_metatarsus01_jj_0125,0,0,0,0.026,0.017,0.346
MouseLiver_back,0,,,,,
MouseHeart_squash,0.211,,,,,
MouseHeart_back,0,,,,,
Gland1_long_scale,0.629,,,,,
Gland1_left_bend,0,,,,,
Gland1_wide_scale,0,,,,,
Gland1_right_bend,0,,,,,
Gland2_long_scale,0,,,,,
Gland2_wide_scale,0,,,,,
Gland2_left_bend,0,,,,,
Gland2_right_bend,0,,,,,
